Date;Amount;Original amount;Original currency;Exchange rate;Description;Subject;Category;Tags;Wise;Spaces
2024-01-02;-89.90;-89.90;CHF;1.00;Migros Grocery;REF-24001;Food & Dining;personal;No;Main Account
2024-01-03;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24002;Transportation;recurring;No;Main Account
2024-01-05;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24003;Housing;rent;recurring;Main Account
2024-01-05;-82.50;-75.00;EUR;1.10;Restaurant Rome;REF-24004;Food & Dining;travel;No;Travel Budget
2024-01-07;-45.90;-45.90;CHF;1.00;Coop Grocery;REF-24005;Food & Dining;personal;No;Main Account
2024-01-10;5500.00;5500.00;CHF;1.00;Salary January;REF-24006;Income;salary;No;Main Account
2024-01-12;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24007;Bills & Utilities;recurring;No;Main Account
2024-01-15;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24008;Health;subscription;No;Main Account
2024-01-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24009;Entertainment;subscription;No;Main Account
2024-01-17;-78.50;-78.50;CHF;1.00;Manor Shopping;REF-24010;Shopping;personal;No;Main Account
2024-01-20;-250.00;-250.00;CHF;1.00;Dentist Visit;REF-24011;Health;medical;No;Main Account
2024-01-22;-189.90;-189.90;CHF;1.00;MediaMarkt Electronics;REF-24012;Shopping;personal;No;Main Account
2024-01-25;-92.40;-92.40;CHF;1.00;Coop Grocery;REF-24013;Food & Dining;personal;No;Main Account
2024-01-28;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24014;Insurance;recurring;No;Main Account
2024-01-30;-85.60;-85.60;CHF;1.00;Migros Grocery;REF-24015;Food & Dining;personal;No;Main Account
2024-02-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24016;Transportation;recurring;No;Main Account
2024-02-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24017;Housing;rent;recurring;Main Account
2024-02-05;5500.00;5500.00;CHF;1.00;Salary February;REF-24018;Income;salary;No;Main Account
2024-02-07;-899.00;-899.00;USD;1.00;Flight Ticket NYC;REF-24019;Travel;business;Yes;Travel Budget
2024-02-08;-95.30;-95.30;CHF;1.00;Migros Grocery;REF-24020;Food & Dining;personal;No;Main Account
2024-02-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24021;Bills & Utilities;recurring;No;Main Account
2024-02-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24022;Health;subscription;No;Main Account
2024-02-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24023;Entertainment;subscription;No;Main Account
2024-02-17;-167.80;-167.80;CHF;1.00;H&M Shopping;REF-24024;Shopping;personal;No;Main Account
2024-02-20;-88.50;-88.50;CHF;1.00;Coop Grocery;REF-24025;Food & Dining;personal;No;Main Account
2024-02-22;750.00;750.00;CHF;1.00;Freelance Work;REF-24026;Income;business;No;Business Income
2024-02-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24027;Insurance;recurring;No;Main Account
2024-02-28;-91.20;-91.20;CHF;1.00;Migros Grocery;REF-24028;Food & Dining;personal;No;Main Account
2024-03-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24029;Transportation;recurring;No;Main Account
2024-03-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24030;Housing;rent;recurring;Main Account
2024-03-05;5500.00;5500.00;CHF;1.00;Salary March;REF-24031;Income;salary;No;Main Account
2024-03-07;-180.25;-165.00;EUR;1.09;Hotel Paris;REF-24032;Travel;travel;Yes;Travel Budget
2024-03-08;-94.50;-94.50;CHF;1.00;Migros Grocery;REF-24033;Food & Dining;personal;No;Main Account
2024-03-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24034;Bills & Utilities;recurring;No;Main Account
2024-03-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24035;Health;subscription;No;Main Account
2024-03-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24036;Entertainment;subscription;No;Main Account
2024-03-18;-89.90;-89.90;CHF;1.00;Coop Grocery;REF-24037;Food & Dining;personal;No;Main Account
2024-03-20;-320.00;-320.00;CHF;1.00;New Phone Case;REF-24038;Shopping;personal;No;Main Account
2024-03-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24039;Insurance;recurring;No;Main Account
2024-03-28;-93.40;-93.40;CHF;1.00;Migros Grocery;REF-24040;Food & Dining;personal;No;Main Account
2024-04-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24041;Transportation;recurring;No;Main Account
2024-04-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24042;Housing;rent;recurring;Main Account
2024-04-05;5500.00;5500.00;CHF;1.00;Salary April;REF-24043;Income;salary;No;Main Account
2024-04-07;-92.30;-92.30;CHF;1.00;Migros Grocery;REF-24044;Food & Dining;personal;No;Main Account
2024-04-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24045;Bills & Utilities;recurring;No;Main Account
2024-04-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24046;Health;subscription;No;Main Account
2024-04-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24047;Entertainment;subscription;No;Main Account
2024-04-17;-88.70;-88.70;CHF;1.00;Coop Grocery;REF-24048;Food & Dining;personal;No;Main Account
2024-04-20;-220.00;-220.00;CHF;1.00;Birthday Gift;REF-24049;Shopping;personal;No;Main Account
2024-04-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24050;Insurance;recurring;No;Main Account
2024-04-28;-91.80;-91.80;CHF;1.00;Migros Grocery;REF-24051;Food & Dining;personal;No;Main Account
2024-05-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24052;Transportation;recurring;No;Main Account
2024-05-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24053;Housing;rent;recurring;Main Account
2024-05-05;5500.00;5500.00;CHF;1.00;Salary May;REF-24054;Income;salary;No;Main Account
2024-05-07;-93.40;-93.40;CHF;1.00;Migros Grocery;REF-24055;Food & Dining;personal;No;Main Account
2024-05-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24056;Bills & Utilities;recurring;No;Main Account
2024-05-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24057;Health;subscription;No;Main Account
2024-05-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24058;Entertainment;subscription;No;Main Account
2024-05-17;-1200.00;-1100.00;EUR;1.09;Summer Vacation Booking;REF-24059;Travel;travel;Yes;Travel Budget
2024-05-20;-89.90;-89.90;CHF;1.00;Coop Grocery;REF-24060;Food & Dining;personal;No;Main Account
2024-05-22;850.00;850.00;CHF;1.00;Freelance Work;REF-24061;Income;business;No;Business Income
2024-05-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24062;Insurance;recurring;No;Main Account
2024-05-28;-94.50;-94.50;CHF;1.00;Migros Grocery;REF-24063;Food & Dining;personal;No;Main Account
2024-06-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24064;Transportation;recurring;No;Main Account
2024-06-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24065;Housing;rent;recurring;Main Account
2024-06-05;5500.00;5500.00;CHF;1.00;Salary June;REF-24066;Income;salary;No;Main Account
2024-06-07;-92.30;-92.30;CHF;1.00;Migros Grocery;REF-24067;Food & Dining;personal;No;Main Account
2024-06-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24068;Bills & Utilities;recurring;No;Main Account
2024-06-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24069;Health;subscription;No;Main Account
2024-06-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24070;Entertainment;subscription;No;Main Account
2024-06-17;-88.60;-88.60;CHF;1.00;Coop Grocery;REF-24071;Food & Dining;personal;No;Main Account
2024-06-20;-280.00;-280.00;CHF;1.00;New Shoes;REF-24072;Shopping;personal;No;Main Account
2024-06-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24073;Insurance;recurring;No;Main Account
2024-06-28;-91.20;-91.20;CHF;1.00;Migros Grocery;REF-24074;Food & Dining;personal;No;Main Account
2024-07-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24075;Transportation;recurring;No;Main Account
2024-07-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24076;Housing;rent;recurring;Main Account
2024-07-05;5500.00;5500.00;CHF;1.00;Salary July;REF-24077;Income;salary;No;Main Account
2024-07-07;-93.80;-93.80;CHF;1.00;Migros Grocery;REF-24078;Food & Dining;personal;No;Main Account
2024-07-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24079;Bills & Utilities;recurring;No;Main Account
2024-07-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24080;Health;subscription;No;Main Account
2024-07-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24081;Entertainment;subscription;No;Main Account
2024-07-17;-91.20;-91.20;CHF;1.00;Coop Grocery;REF-24082;Food & Dining;personal;No;Main Account
2024-07-20;-350.00;-320.00;EUR;1.09;Weekend Trip Milan;REF-24083;Travel;travel;Yes;Travel Budget
2024-07-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24084;Insurance;recurring;No;Main Account
2024-07-28;-94.50;-94.50;CHF;1.00;Migros Grocery;REF-24085;Food & Dining;personal;No;Main Account
2024-08-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24086;Transportation;recurring;No;Main Account
2024-08-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24087;Housing;rent;recurring;Main Account
2024-08-05;5500.00;5500.00;CHF;1.00;Salary August;REF-24088;Income;salary;No;Main Account
2024-08-07;-92.40;-92.40;CHF;1.00;Migros Grocery;REF-24089;Food & Dining;personal;No;Main Account
2024-08-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24090;Bills & Utilities;recurring;No;Main Account
2024-08-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24091;Health;subscription;No;Main Account
2024-08-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24092;Entertainment;subscription;No;Main Account
2024-08-17;-89.90;-89.90;CHF;1.00;Coop Grocery;REF-24093;Food & Dining;personal;No;Main Account
2024-08-20;-180.00;-180.00;CHF;1.00;Back to School Shopping;REF-24094;Shopping;personal;No;Main Account
2024-08-22;920.00;920.00;CHF;1.00;Freelance Work;REF-24095;Income;business;No;Business Income
2024-08-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24096;Insurance;recurring;No;Main Account
2024-08-28;-93.70;-93.70;CHF;1.00;Migros Grocery;REF-24097;Food & Dining;personal;No;Main Account
2024-09-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24098;Transportation;recurring;No;Main Account
2024-09-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24099;Housing;rent;recurring;Main Account
2024-09-05;5500.00;5500.00;CHF;1.00;Salary September;REF-24100;Income;salary;No;Main Account
2024-09-07;-91.80;-91.80;CHF;1.00;Migros Grocery;REF-24101;Food & Dining;personal;No;Main Account
2024-09-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24102;Bills & Utilities;recurring;No;Main Account
2024-09-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24103;Health;subscription;No;Main Account
2024-09-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24104;Entertainment;subscription;No;Main Account
2024-09-17;-88.50;-88.50;CHF;1.00;Coop Grocery;REF-24105;Food & Dining;personal;No;Main Account
2024-09-20;-250.00;-250.00;CHF;1.00;Winter Jacket;REF-24106;Shopping;personal;No;Main Account
2024-09-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24107;Insurance;recurring;No;Main Account
2024-09-28;-94.20;-94.20;CHF;1.00;Migros Grocery;REF-24108;Food & Dining;personal;No;Main Account
2024-10-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24109;Transportation;recurring;No;Main Account
2024-10-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24110;Housing;rent;recurring;Main Account
2024-10-05;5500.00;5500.00;CHF;1.00;Salary October;REF-24111;Income;salary;No;Main Account
2024-10-07;-92.60;-92.60;CHF;1.00;Migros Grocery;REF-24112;Food & Dining;personal;No;Main Account
2024-10-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24113;Bills & Utilities;recurring;No;Main Account
2024-10-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24114;Health;subscription;No;Main Account
2024-10-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24115;Entertainment;subscription;No;Main Account
2024-10-17;-90.30;-90.30;CHF;1.00;Coop Grocery;REF-24116;Food & Dining;personal;No;Main Account
2024-10-20;-1100.00;-1000.00;EUR;1.10;Ski Pass Season;REF-24117;Entertainment;winter;No;Main Account
2024-10-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24118;Insurance;recurring;No;Main Account
2024-10-28;-93.80;-93.80;CHF;1.00;Migros Grocery;REF-24119;Food & Dining;personal;No;Main Account
2024-11-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24120;Transportation;recurring;No;Main Account
2024-11-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24121;Housing;rent;recurring;Main Account
2024-11-05;5500.00;5500.00;CHF;1.00;Salary November;REF-24122;Income;salary;No;Main Account
2024-11-07;-91.90;-91.90;CHF;1.00;Migros Grocery;REF-24123;Food & Dining;personal;No;Main Account
2024-11-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24124;Bills & Utilities;recurring;No;Main Account
2024-11-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24125;Health;subscription;No;Main Account
2024-11-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24126;Entertainment;subscription;No;Main Account
2024-11-17;-89.70;-89.70;CHF;1.00;Coop Grocery;REF-24127;Food & Dining;personal;No;Main Account
2024-11-20;-450.00;-450.00;CHF;1.00;Christmas Shopping;REF-24128;Shopping;gifts;No;Main Account
2024-11-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24129;Insurance;recurring;No;Main Account
2024-11-28;-94.50;-94.50;CHF;1.00;Migros Grocery;REF-24130;Food & Dining;personal;No;Main Account
2024-12-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24131;Transportation;recurring;No;Main Account
2024-12-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24132;Housing;rent;recurring;Main Account
2024-12-05;5500.00;5500.00;CHF;1.00;Salary December;REF-24133;Income;salary;No;Main Account
2024-12-07;-92.80;-92.80;CHF;1.00;Migros Grocery;REF-24134;Food & Dining;personal;No;Main Account
2024-12-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24135;Bills & Utilities;recurring;No;Main Account
2024-12-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24136;Health;subscription;No;Main Account
2024-12-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24137;Entertainment;subscription;No;Main Account
2024-12-17;-91.20;-91.20;CHF;1.00;Coop Grocery;REF-24138;Food & Dining;personal;No;Main Account
2024-12-20;-350.00;-350.00;CHF;1.00;Holiday Gifts;REF-24139;Shopping;gifts;No;Main Account
2024-12-22;1200.00;1200.00;CHF;1.00;Year-end Bonus;REF-24140;Income;bonus;No;Main Account
2024-12-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24141;Insurance;recurring;No;Main Account
2024-12-28;-93.60;-93.60;CHF;1.00;Migros Grocery;REF-24142;Food & Dining;personal;No;Main Account
2024-12-31;-250.00;-250.00;CHF;1.00;New Year's Party;REF-24143;Entertainment;personal;No;Main Account